ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,couverture,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA,theme,image
السياسة الجنائية في مواجهة جرائم الفساد المالي و الاداري,livres,,,PIECES,5,Brand 1,11,150,TVA,20,Inclusive,105,10,9789920656429,10,السياسة الجنائية في مواجهة جرائم الفساد المالي و الاداري,Percentage,30,150,مكتبة الرشاد,,,اشرف لصابري,,,,,2021,,,,,القانون الجنائي ,uploads/items/13.jpg
السياسة الجنائية و النموذج التنموي الجديد,livres,,,PIECES,5,Brand 1,11,100,TVA,20,Inclusive,70,10,9789920508025,10,السياسة الجنائية و النموذج التنموي الجديد,Percentage,30,100,دار الأفاق المغربية,,,عزيز بنزيان,,,,,2023,,,,,القانون الجنائي ,uploads/items/14.jpg
الشرح العملي لقانون التنظيم القضائي 38.15,livres,,,PIECES,5,Brand 1,11,120,TVA,20,Inclusive,84,10,9789920656665,10,الشرح العملي لقانون التنظيم القضائي 38.15,Percentage,30,120,مكتبة الرشاد,,,محمد نعناني,,,,,2022,,,,,القانون المدني ,uploads/items/15.jpg
العمل القضائي في قضايا المنازعات العقارية,livres,,,PIECES,5,Brand 1,11,120,TVA,20,Inclusive,90,10,9789920302517,10,العمل القضائي في قضايا المنازعات العقارية,Percentage,25,120,المؤلف,,,عبد العزيز ادزني,,,,,2022,,,,,القانون المدني ,uploads/items/16.jpg
القانون الجنائي المغربي ع 3,livres,,,PIECES,5,Brand 1,11,60,TVA,20,Inclusive,45,10,20200013,10,القانون الجنائي المغربي ع 3,Percentage,25,60,المؤلف,,,خليل مرزوق,,,,,2022,,,,,القانون الجنائي ,uploads/items/17.jpg
القانون الجنائي المغربي ع 3,livres,,,PIECES,5,Brand 1,11,60,TVA,20,Inclusive,45,10,27378162303,10,القانون الجنائي المغربي ع 3,Percentage,25,60,المؤلف,,,خليل مرزوق,,,,,2023,,,,,القانون الجنائي ,uploads/items/18.jpg
القانون الجنائي ع 1 /2021.2022,livres,,,PIECES,5,Brand 1,11,33,TVA,20,Inclusive,24.75,10,97899547094291,10,القانون الجنائي ع 1 /2021.2022,Percentage,25,33,دار القانون و الثقافة,,,عبد الكريم كمران,,,,,2021,,,,,القانون الجنائي ,uploads/items/19.jpg
القانون الجنائي ع 1 2022/2023,livres,,,PIECES,5,Brand 1,11,33,TVA,20,Inclusive,24.75,10,9789954709421,10,القانون الجنائي ع 1 2022/2023,Percentage,25,33,المؤلف,,,عبد الكريم كمران,,,,,2023,,,,,القانون الجنائي ,uploads/items/20.jpg
BARBIE VIE QUOTIDIENNE - T01 - BARBIE - VIE QUOTIDIENNE 01 - LE DEMENAGEMENT,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017111146,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MATTEL,,,,,02/01/2020,,,,,JEUNESSE,uploads/items/21.jpg
BARBIE VIE QUOTIDIENNE - T03 - BARBIE - VIE QUOTIDIENNE 03 - LA RENTREE DES CLASSES,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782016288481,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MATTEL,,,,,16/09/2020,,,,,JEUNESSE,uploads/items/22.jpg
BIENVENUE CHEZ LES LOUD - T01 - BIENVENUE CHEZ LES LOUD 01 -  DES SOEURS D'ENFER !,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017048657,10,,Percentage,35,81.00, HACHETTE JEUN.,,, NICKELODEON |  XXX,,,,,02/05/2018,,,,,JEUNESSE,uploads/items/23.jpg
